amfi_code,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,max_drawdown_date,scheme_name,fund_house,category,sub_category,expense_ratio_pct,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,final_score
148567,20.360678307711865,34.00091602163293,26.3149802906119,1.4482911703262595,2.385644373368818,26.98375144191807,0.023683558075848623,-11.265729075028275,2023-10-20,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,1.46,97.5,100.0,85.0,45.0,82.5,86.25
120505,29.604659337893647,31.777537151234704,28.89388246767115,1.1801011976606495,2.0293529404657464,29.26358334175106,0.000549004250631712,-18.188513572116292,2025-01-23,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,1.36,90.0,90.0,95.0,65.0,40.0,82.25
120843,26.657081760850154,29.58277033726251,26.287126056316467,1.3067439695428407,2.364320032166718,27.330465038306055,-0.02282956979242654,-12.97396816518679,2022-04-13,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,1.45,85.0,97.5,90.0,47.5,70.0,82.0
100033,53.23239623092084,32.442459421956116,26.41284418136891,1.0936987435346308,1.8291339615146942,27.19535450128533,0.0051035258305283104,-16.217208574644847,2022-05-12,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,1.38,92.5,85.0,87.5,60.0,52.5,80.75
120504,13.064279264417976,32.48742855621496,20.51168188415211,1.0265242847993004,1.8052937940992548,21.19482701352573,0.016232169761417007,-12.588275606922517,2023-05-30,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,0.8,95.0,77.5,70.0,72.5,72.5,80.0
119094,22.261065131342207,35.11180209642853,24.535034300396564,0.9982309868636414,1.7037974802463003,26.07666908004223,-0.06626542862803757,-20.960883862039193,2022-08-11,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,1.38,100.0,75.0,80.0,60.0,32.5,77.0
119551,60.43734071403091,30.456524420302888,22.40207284794744,1.2082665673727175,2.140267129061793,23.201007160635083,-0.03175144113890972,-15.012385498645331,2024-02-05,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,1.54,87.5,92.5,77.5,26.25,60.0,74.8125
148569,39.75176148971702,29.178901578393777,27.41707694597304,1.2349300257743296,2.1469139263460555,28.27036785246582,0.018133884083859245,-16.39674294693263,2023-10-20,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,1.6,82.5,95.0,92.5,11.25,50.0,73.6875
101206,47.92412023860102,28.96769452874166,20.414973065696017,1.0272133278753697,1.7995628746984524,21.399784776051213,0.02108631625012803,-11.291596329323072,2023-07-05,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,1.6,80.0,80.0,72.5,11.25,80.0,68.1875
119598,82.77605861507405,26.66992200118774,28.41391272219287,0.9453082575156093,1.6753165700125516,30.336965386983323,-0.023196062044059693,-28.706005721764548,2025-05-14,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,1.43,72.5,67.5,100.0,50.0,12.5,67.375
149323,21.481222193726257,26.869990828902203,25.599707110077464,1.1321218524747245,1.875101063919208,26.598577542043046,-0.002523004664699247,-17.24810575345138,2022-10-24,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,1.61,75.0,87.5,82.5,7.5,47.5,66.75
149324,65.13871892998797,27.000426614519245,28.187713206128606,0.9497958246616031,1.619793176491409,30.05787817097677,0.011455159960520708,-31.171900300634213,2025-01-03,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,1.52,77.5,70.0,97.5,36.25,10.0,66.6875
118632,33.9810484550213,22.652359830098632,20.898396688116904,1.0816591793457044,1.8501325468557264,21.829397904608644,-0.008353832126962021,-17.41407508665723,2024-07-19,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,1.51,67.5,82.5,75.0,41.25,45.0,66.5625
119552,5.706100044974027,16.267372294624916,19.15259485221408,0.9532794968660103,1.609776489628308,19.86859936686296,-0.026159307513513405,-11.803493502764296,2024-09-02,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,0.66,45.0,72.5,65.0,92.5,75.0,66.0
125497,28.67535802656873,18.434488610520173,16.5325903377463,0.7757902498211207,1.3306512447571366,17.729754927531765,0.04882040425957739,-15.200013055606398,2025-01-01,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,0.92,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25
118635,22.493224932249344,20.00820838047148,14.137091916219703,0.6648569985490619,1.137976718780742,15.136354648239239,-0.001433521389780133,-11.511457598975516,2022-06-09,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,0.89,60.0,55.00000000000001,45.0,70.0,77.5,59.0
118633,25.539980483954096,21.08997654925684,14.526572994594433,0.6452074382933215,1.1544757169236237,15.643835948169668,-0.03663900671860934,-18.62974313859551,2024-02-29,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,0.72,65.0,50.0,47.5,88.75,37.5,58.5625
102885,20.207703983094838,19.66726206830185,15.622759053747926,0.8170993373494368,1.4357420130649492,17.048756803412697,-0.019486785689474526,-10.85986215250232,2022-03-29,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,1.57,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0
120503,8.489081269294418,13.978381933703044,16.257351134484587,0.7979728586052847,1.3379431500669237,17.703302365844074,-0.0402689523698206,-13.897862823061635,2023-11-09,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,1.42,40.0,60.0,60.0,52.5,67.5,53.625
148568,14.269394138778924,14.748035533586012,19.19013572159991,0.9262873467360146,1.6327409778735162,20.873010086942337,-0.026387719943843004,-15.27259422823477,2024-01-24,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,1.52,42.5,65.0,67.5,36.25,55.00000000000001,53.4375
120506,41.81904829701364,18.421996537444542,14.87668197926224,0.6488787755249532,1.0958951614736467,16.25385327998104,0.04189646272811977,-19.82565826298267,2023-08-14,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,1.41,52.5,52.5,52.5,55.00000000000001,35.0,51.125
120507,7.42505077613469,7.394286300360076,6.331473803574905,0.4957233929533124,1.0521238822609293,6.746210411099539,-0.0004440926329707234,-0.09773140045925555,2025-10-20,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,0.74,30.0,45.0,25.0,85.0,100.0,48.0
119093,19.7667410165155,20.816771175535862,6.921395355103566,0.12961449795669325,0.22108683979276347,8.232801295222094,0.02588321244009315,-21.751396370148225,2023-05-22,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,0.75,62.5,30.0,32.5,82.5,25.0,47.625
102887,13.5831349444816,25.556187904126524,14.919507520880849,0.6195175900829828,1.0887552508030014,16.211256794033254,0.016682689437770827,-21.285398874796858,2022-07-04,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,1.64,70.0,47.5,50.0,3.75,27.500000000000004,46.1875
149322,18.11115252275146,18.04420648663614,11.887955009317807,0.4640374492204777,0.7621288703723165,13.173190226099432,-0.004050271130006534,-14.111986534883126,2024-12-19,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,1.54,50.0,40.0,42.5,26.25,65.0,43.9375
